mi:eu, meu.
sina:você, seu.
ona:ele, ela, eles, elas.
ijo:coisa.
jan:pessoa.
pona:bom, concertar.
ike:ruim.
moku:comer, comida.
suli:velho, grande, importante.
toki:falar, idioma, olá.
lili:pequeno.
telo:água, líquido.
suno:sol.
ilo:ferramenta.
kili:fruta, legume.
ni:isso, aquilo.
pipi:praga, inseto.
ma:lugar.
pakala:erro, quebrar.
li:entre sujeito e verbo (exceto 'mi' e 'sina'), também usado para introduzir um novo verbo para o mesmo sujeito
e:(antes do objeto direto)
esun:loja, comprar.
lukin:olho, ver.
jo:ter.
pana:dar.
pali:fazer, trabalhar.
wile:querer, precisar.
kute:ouvir, orelha.
kalama:som.
nasa:estupido, estranho.
lipu:documento, livro, papel.
kulupu:grupo.
tenpo:tempo.
jaki:sujo, nojento.
linja:linha, cabelo.
luka:mão, braço, 5.
noka:perna, pé.
lawa:cabeça, controle.
mama:pai, mãe.
pi:de.
ken:habilidade, possível.
lape:dormir.
tomo:estrutura.
sona:saber, conhecimento, inteligência.
kala:animal aquático.
sijelo:corpo.
kasi:planta.
pini:fim.
kama:vir, chegar.
len:tecido.
kiwen:objeto duro.
kon:ar.
poki:caixa, recipiente.
musi:arte, entretenimento.
awen:continuar, seguro.
soweli:animal.
olin:amor.
sin:novo.
tenpo ni:presente.
tenpo kama:futuro.
tenpo pini:passado.
la:usado para afirmações condicionais, tempo ou contexto.
en:(entre múltiplos sujeitos)
ala:não.
seme:o quê, qual?
anu:ou.
alasa:caçar.
mani:dinheiro.
lupa:buraco, porta.
meli:fêmea.
mije:macho.
moli:morte.
mun:lua.
o:ordem.
akesi:lagarto.
jelo:amarelo.
laso:azul, verde.
loje:vermelho.
pimeja:escuro.
walo:claro.
nimi:palavra, nome. 
open:começar, abrir.
pan:grão.
lon:em, dentro de, estar.
kepeken:usar.
tan:de, pois, por causa de.
tawa:para, ir, por, na opinião de.
wawa:poderoso, certeza.
insa:dentro.
monsi:atrás.
poka:lado, próximo. 
sewi:cima, divino.
sinpin:frente, cara.
wan:um.
tu:dois.
mute:muito, muitos.
ale(ali):tudo.
anpa:para baixo.
nasin:caminho, método.
nena:solavanco.
utala:luta.
pilin:sentir.
taso:mas, apenas.
a:(ênfase, emoção)
ante:outro.
lete:frio, cru.
sama:similar.
suwi:doce, fofo.
palisa:graveto.
waso:animal voador.
weka:longe, ausente.
mu:som animal.
ko:semi-solido.
kule:cor.
seli:calor.
selo:camada externa.
sike:coisa arredondada.
sitelen:imagem.
unpa:sexo.
uta:boca.
pu:interagindo com o livro, Toki Pona A Lingua do Bem, por Sonja Lang.
lon noka:embaixo.
kin:também.
supa:superfície horizontal para colocar ou repousar algo.
